"partialQEP";"impliedPartialQEPs"
"2456";"134, 13"
"715";"700, 243"
"2940";"172, 175"
"2465";"90, 13"
"2124";"134, 13"
"1065";"1062"
"1783";"235"
"724";"725"
"383";"382, 81, 377, 99, 378"
"3694";"852, 855, 94"
"3353";"281, 2498, 13, 1681"
"1819";"167, 18"
"1478";"90, 13"
"1137";"798"
"1451";"795, 18"
"733";""
"796";"779, 39"
"392";""
"1487";"4563, 134, 13"
"1146";"1134, 94"
"4546";"134, 13"
"4205";"529, 531, 94"
"805";"809, 33"
"150";""
"464";"319"
"2671";"281, 13"
"4241";"620, 448"
"500";"68"
"3900";"2292, 134, 13"
"159";""
"814";"540"
"473";""
"132";""
"1998";"1295, 281, 13"
"3568";"134, 13"
"3093";"134, 13"
"545";""
"2752";"1825, 134, 13"
"141";"138, 13, 144, 143, 139, 51"
"1693";"529, 531, 94"
"1352";"90, 13"
"554";""
"2447";"167, 18"
"2106";"207, 199"
"2761";"3647, 18, 2912, 515"
"2420";"817, 18"
"1765";"1252, 536, 13"
"2079";"3817, 281, 13, 2394"
"1361";"3411, 281, 13"
"1020";"1051, 1033, 1044"
"2115";"658, 663, 94"
"1774";"167, 18"
"1433";"134, 13"
"778";"787, 235"
"1747";"189, 87"
"1092";"1157, 94"
"1406";"167, 18"
"3299";"3592"
"1128";"1093, 628, 1144, 1104"
"4053";"1393, 2859"
"1442";"529, 531, 94"
"787";"235"
"1101";""
"446";""
"105";"108, 80"
"760";"749, 501"
"3308";"1905, 134, 13"
"2967";"536, 13"
"419";"311"
"2626";"3650, 134, 13"
"4537";"189, 87"
"455";"451, 454, 453, 452"
"1173";""
"3721";"4231, 134, 13"
"1110";"280, 160, 1089, 159, 1149, 1145"
"114";"101, 115, 110, 78, 106, 109, 105, 103, 108, 80, 104, 107, 79, 111, 100"
"769";"39"
"3380";"90, 13"
"428";"429, 52"
"2321";"3938, 90, 13"
"1980";"216, 217"
"2294";"3618, 281, 13"
"868";"261, 39"
"527";"525, 381"
"3730";"4285, 90, 13"
"1182";"512, 505"
"123";"122, 120"
"2734";"1950, 13, 281, 1706, 1395"
"841";"829, 94"
"3389";"281, 13"
"3048";"172, 175"
"2330";"90, 13"
"2393";"134, 13"
"1989";"4336, 134, 13"
"536";"13"
"3084";"90, 13"
"195";""
"2743";"216, 217"
"3057";"167, 18"
"2402";"90, 13"
"2061";"3281, 281, 13"
"2716";"134, 13"
"2375";"172, 175"
"1657";"4249, 281, 13"
"204";"99, 81"
"2411";"216, 217"
"1756";"172, 175"
"2070";"134, 13"
"1415";"209, 210"
"4277";"189, 87"
"1074";"601"
"1729";"167, 18"
"3936";"18, 3460, 1422, 515"
"1388";"134, 13"
"3595";"4444, 90, 13"
"4690";"209, 210"
"2142";"90, 13"
"1424";"167, 18"
"1738";"536, 13"
"1083";"1079, 524"
"4349";"134, 13"
"742";"732, 94"
"1397";"717, 718, 94"
"1056";"1037"
"401";"228, 52"
"2949";"4420, 90, 13"
"3263";"209, 210"
"4358";"3922, 1117"
"1810";"209, 210"
"4017";"172, 175"
"1469";"893, 878, 21, 729, 879, 768, 235"
"751";"748"
"3362";"216, 217"
"410";""
"3676";"4530, 134, 13"
"2958";"209, 210"
"69";""
"2617";"2043, 281, 13"
"1505";"893, 878, 3017, 3120, 21, 729, 879, 884, 140, 3583, 768, 235"
"1164";"726, 313"
"3712";"742, 732, 94"
"4026";"90, 13"
"823";"824, 849"
"3371";"189, 87"
"3685";"90, 13"
"3030";"134, 13"
"78";""
"2689";"167, 18"
"3344";"843, 837, 94"
"3003";"90, 13"
"832";""
"491";"492"
"2384";"90, 13"
"3039";"620, 448"
"2698";"281, 13"
"2357";"134, 13"
"3012";"3092, 134, 13"
"2016";"1019, 140"
"4564";"3476, 281, 13"
"4223";"893, 878, 21, 729, 879, 768, 235"
"2052";"2985, 90, 13"
"2707";"281, 13"
"2770";"281, 13, 3136, 3881"
"1711";"657, 664, 94"
"2366";"1064, 1080, 94"
"4573";"1173"
"2025";"2416, 90, 13"
"1370";"281, 3434, 13, 3970"
"4232";"3772, 90, 13"
"1029";"602"
"1684";"90, 13"
"3891";"4281, 134, 13"
"2779";"1596, 134, 13"
"2438";"13, 281, 2812, 3971, 3259"
"1720";"1568, 90, 13"
"4645";"90, 13"
"3990";"172, 175"
"3927";"1282, 281, 13"
"2034";"515, 18"
"1379";"90, 13"
"3586";"2875, 94"
"1038";"1024, 789"
"697";"702, 306, 707, 703, 696"
"4681";"172, 175"
"2133";"90, 13"
"4340";"189, 87"
"1792";"216, 217"
"4654";"930, 936"
"3999";"134, 13"
"4313";"209, 210"
"3658";"4489, 536, 13"
"1047";"1056, 1037"
"3972";"3056, 53"
"706";""
"3254";"1327, 281, 13, 2574"
"231";""
"1801";"216, 217"
"4008";"2216, 2371, 13, 281, 3123"
"1460";"1358, 281, 13"
"4322";"90, 13"
"3667";"207, 199"
"1119";"1114, 94"
"332";"347, 340, 343, 342, 158"
"2943";"90, 13"
"772";"160"
"1086";"1084, 94"
"431";"430, 432, 33"
"745";"94"
"90";"13"
"3293";"728, 738, 94"
"404";"401, 228, 52"
"2952";"2187, 134, 13"
"63";"18"
"1956";"4128, 140"
"2611";"2483, 2409, 13, 281, 1716"
"2270";"90, 13"
"99";"81"
"2710";"90, 13"
"3024";"1039, 305"
"2306";"3541, 281, 13"
"1965";"172, 175"
"2279";"281, 13, 4517, 3424"
"1624";"653, 673, 94"
"1938";"167, 18"
"1283";"90, 13"
"1597";"134, 13"
"2719";"207, 199"
"2378";"134, 13"
"3033";"216, 217"
"2037";"216, 217"
"2692";"456, 457, 81"
"2351";"207, 199"
"978";"999, 94"
"1633";"134, 13"
"4558";"281, 13, 3560, 4568"
"1292";"207, 199"
"2387";"1723, 134, 13"
"3042";"189, 87"
"2046";"134, 13"
"2701";"510, 435"
"1705";"172, 175"
"2360";"2384, 90, 13"
"4253";"720"
"646";"649, 552"
"3912";"90, 13"
"1364";"512, 505"
"1301";"134, 13"
"3571";"199"
"960";"1004, 926, 981, 161"
"2055";"209, 210"
"1400";"90, 13"
"1714";"172, 175"
"4262";"657, 664, 94"
"1059";"1041, 1055, 1087, 602, 1074, 601, 1029, 1062, 1077, 1045, 1065"
"3921";"524"
"1373";"207, 199"
"1032";""
"3580";"381"
"3239";"3137, 13, 281, 2051, 2502"
"2584";"209, 210"
"1068";"1071, 1058"
"727";"306"
"3993";"657, 664, 94"
"1382";"2350, 90, 13"
"3275";"3064, 134, 13"
"3338";"90, 13"
"4307";"573, 562, 94"
"386";"388"
"2934";"209, 210"
"45";"46, 33"
"2593";"3461, 90, 13"
"3248";"216, 217"
"2252";"209, 210"
"2907";""
"2566";"281, 13, 4326, 4170"
"3347";"4142, 695"
"395";"237"
"3661";"90, 13"
"3006";"456, 457, 81"
"54";"58, 59, 55, 57"
"2602";"207, 199"
"3320";"41, 40"
"2261";"1294, 281, 13"
"1606";"4723, 90, 13"
"1920";"216, 217"
"2234";"134, 13"
"808";"812, 99, 81"
"3356";"888, 886, 94"
"3670";"207, 199"
"3015";"172, 175"
"2674";"172, 175"
"3329";"1590, 281, 2993, 13"
"2988";"2607, 13, 2121, 281, 1412"
"1615";"209, 210"
"2333";"281, 4593, 13, 1650"
"4540";"2834, 90, 13"
"1929";"207, 199"
"2369";"172, 175"
"2683";"281, 3618, 13, 2294"
"2342";"1510, 134, 13"
"4549";"90, 13"
"2001";"167, 18"
"4208";"134, 13"
"1660";"172, 175"
"3867";"207, 199"
"1696";"3683, 134, 13"
"4621";"907, 870, 94"
"3903";"834, 825, 94"
"2010";"510, 435"
"1355";"573, 562, 94"
"4217";"1707, 536, 13"
"3562";"510, 435"
"3876";"189, 87"
"3221";"90, 13"
"3535";"1838"
"2880";"209, 210"
"3194";"189, 87"
"4316";"207, 199"
"4630";"4028, 134, 13"
"3975";"209, 210"
"4289";"1228, 3603, 4653, 13, 281"
"3634";"209, 210"
"1023";"1027, 440"
"3948";"189, 87"
"682";"683, 678, 33, 689, 694, 556, 688, 684, 691"
"3230";"172, 175"
"3544";"216, 217"
"2889";"658, 663, 94"
"341";"333, 80"
"3203";"134, 13"
"3984";"90, 13"
"4298";"1633, 134, 13"
"3643";"620, 448"
"691";"683, 678, 33, 689, 694, 556, 688, 684"
"3957";"4193, 306"
"3302";"216, 217"
"3616";"456, 457, 81"
"2243";"1377, 134, 13"
"2898";"789"
"2961";"207, 199"
"2557";"828, 836, 94"
"1445";"167, 18"
"3652";"4623, 134, 13"
"3966";""
"3311";"888, 886, 94"
"2970";"512, 505"
"2629";"167, 18"
"2665";"1784"
"2324";"2749, 515, 18"
"2979";"216, 217"
"2638";"216, 217"
"4190";"90, 13"
"2297";"207, 199"
"4504";"668, 665, 94"
"3849";"207, 199"
"4163";"134, 13"
"763";"726, 313"
"422";"227"
"1992";"281, 13"
"4199";"167, 18"
"1651";"90, 13"
"4513";"281, 13"
"1310";"4230, 134, 13"
"3858";"515, 18"
"4172";"207, 199"
"3517";"1613, 134, 13"
"3831";"281, 13, 4030, 4513"
"4612";"2621, 2197, 1275"
"4271";"3531, 90, 13"
"4585";"134, 13"
"3930";"3819, 806, 18"
"1319";"620, 448"
"3212";"134, 13"
"4244";"216, 217"
"3526";"2175, 90, 13"
"2871";"2393, 134, 13"
"2073";"882, 572"
"4280";"4272, 134, 13"
"4594";"3863, 1222, 789, 1796, 1067, 1047, 1751, 1772, 3409, 1333, 3079, 2489, 1066, 4200, 744, 1056, 2668, 1037"
"3939";"1823, 134, 13"
"3598";"281, 13, 3476, 4564"
"3257";"189, 87"
"171";"174"
"3607";"4403, 3889, 13, 281, 1853"
"3266";"1264, 134, 13"
"2925";"1868, 134, 13"
"4477";"2682, 536, 13"
"1391";"134, 13"
"1050";"33"
"3679";"281, 13, 2698, 2833"
"2620";"90, 13"
"4486";"1556, 90, 13"
"4145";"21, 729, 1022, 768, 1081, 1049, 3139, 235"
"718";"94"
"377";"99, 81, 382, 378"
"2288";"167, 18"
"1947";"167, 18"
"4495";"167, 18"
"3840";"4645, 90, 13"
"4154";"172, 175"
"413";"99, 81, 416, 418"
"1131";"1169"
"4468";"172, 175"
"72";"73, 74"
"4567";"207, 199"
"4226";"978, 999, 94"
"3508";"134, 13"
"485";""
"799";"813, 53"
"81";""
"144";"51"
"4576";"1537, 281, 13"
"4235";"2731, 134, 13"
"3894";"18, 1458, 3915, 515"
"494";"495"
"3553";"207, 199"
"153";"140"
"467";"309"
"126";"132"
"2019";"3633, 134, 13"
"3589";"189, 87"
"162";"161"
"2028";"4419, 1016, 1028"
"1687";"216, 217"
"1346";"4090, 90, 13"
"2916";"189, 87"
"2575";"4179, 90, 13"
"1041";"602, 1074, 601, 1029, 1045"
"700";"243"
"1014";"983, 235"
"359";"85, 366, 356, 371, 358, 369"
"673";"94"
"1113";"737, 52"
"1768";"209, 210"
"1427";"18, 1773, 4617, 515"
"709";"659"
"368";"362"
"27";"19"
"1122";"7"
"4522";"2272, 134, 13"
"1436";"90, 13"
"4181";"167, 18"
"781";"814, 540"
"1095";"1161, 153, 140"
"440";""
"754";"761, 767, 39"
"36";""
"2647";"172, 175"
"4531";"930, 936"
"476";"473"
"135";"136, 51"
"790";"808, 812, 99, 81"
"449";"447"
"2997";"172, 175"
"2656";"3155, 150"
"108";"80"
"2315";"207, 199"
"1974";"134, 13"
"3885";"281, 2691, 13, 2003"
"458";"460"
"117";"118"
"1669";"573, 562, 94"
"1983";"657, 664, 94"
"1328";"4156, 4386"
"987";"951, 773"
"1642";"1783, 21, 729, 4081, 2161, 3823, 235"
"2082";"4523, 90, 13"
"1678";"207, 199"
"1741";"209, 210"
"2396";"4254, 90, 13"
"4603";"172, 175"
"1337";"167, 18"
"996";"994, 958"
"655";"670, 671, 656"
"969";"939, 950, 942"
"1750";"3426, 90, 13"
"2405";"978, 999, 94"
"2064";"2655, 134, 13"
"1409";"134, 13"
"1005";"953, 39"
"1723";"134, 13"
"350";"158"
"9";"8, 7"
"664";"94"
"323";"94"
"1759";"167, 18"
"1104";"628"
"1418";"281, 13"
"1077";"1065, 1062"
"1732";"172, 175"
"3625";"281, 13"
"18";""
"736";"745, 94"
"3284";"605, 448"
"4471";"1890"
"4130";"216, 217"
"4444";"90, 13"
"389";"390"
"3789";"167, 18"
"703";"702, 707, 306, 696"
"48";"49, 50"
"3448";"189, 87"
"362";""
"21";""
"4139";"172, 175"
"3798";"456, 457, 81"
"57";""
"3457";"3535, 1838"
"2982";"3623, 90, 13"
"1241";"172, 175"
"4552";"1901, 134, 13"
"4211";"3726, 281, 13"
"3870";"3400, 536, 13"
"3152";"90, 13"
"3466";"209, 210"
"1995";"4704, 134, 13"
"1250";"512, 505"
"909";"526, 381"
"4220";"209, 210"
"3879";"281, 13"
"2345";"4355"
"2004";"281, 13, 2783, 3776"
"1663";"189, 87"
"263";"265, 153, 140"
"2013";"736, 745, 94"
"1672";"172, 175"
"4417";"189, 87"
"1331";"90, 13"
"676";""
"272";"269, 153, 270, 140, 235, 268"
"990";"1009, 313, 977, 975"
"1026";"1032, 1040, 1043, 1063"
"4426";"668, 665, 94"
"4085";"134, 13"
"685";"493"
"999";"94"
"344";"334, 79"
"3";""
"658";"663, 94"
"317";"314, 315, 52"
"4094";"3076, 134, 13"
"1071";"1058"
"353";""
"12";""
"3278";"90, 13"
"2219";"4180, 90, 13"
"1878";"167, 18"
"1537";"281, 13"
"4507";"90, 13"
"425";"320"
"2973";"189, 87"
"84";"83, 68"
"2632";"216, 217"
"2291";"3268, 134, 13"
"434";"421"
"93";""
"2641";"1350, 134, 13"
"2300";"189, 87"
"1959";"1569, 2355, 13, 3967, 281"
"1304";"134, 13"
"1618";"4536, 90, 13"
"900";"721, 150"
"3825";"281, 13"
"102";"101, 115, 110, 78, 106, 109, 105, 103, 108, 80, 112, 104, 114, 107, 79, 111, 100"
"1654";"668, 665, 94"
"4579";"134, 13"
"1968";"167, 18"
"1313";"657, 664, 94"
"1627";"167, 18"
"972";"997"
"631";"629, 630, 626, 516, 613, 607"
"1286";"172, 175"
"4722";"172, 175"
"1385";"512, 505"
"1322";"167, 18"
"4247";"2816, 515, 18"
"981";"1004, 161"
"326";"313"
"640";""
"954";"986, 575"
"299";"160"
"2847";"90, 13"
"2506";"4004, 134, 13"
"3601";"3354, 13, 281, 1460, 1358"
"335";"336, 348, 158"
"1708";"456, 457, 81"
"1053";"1042, 524"
"649";"552"
"3260";"167, 18"
"308";"307, 284"
"3574";"172, 175"
"2515";"13, 281, 2770, 3881, 3136"
"2174";"4219, 2851, 13, 281, 2927"
"1062";""
"3610";"189, 87"
"721";"150"
"3269";"456, 457, 81"
"2928";"90, 13"
"380";"234, 232, 233"
"1869";"1691, 18, 4273, 515"
"2587";"216, 217"
"416";"99, 81"
"730";""
"75";"77"
"2937";"189, 87"
"2282";"3130, 90, 13"
"1941";"167, 18"
"2596";"134, 13"
"2255";"2009, 134, 13"
"1600";"207, 199"
"1914";"1786, 134, 13"
"1950";"281, 13, 1395, 1706"
"2264";"281, 13, 1998, 1295"
"1609";"207, 199"
"1923";"281, 13, 2932, 1343"
"1268";"216, 217"
"1582";"209, 210"
"927";"962, 913, 1002, 508, 918"
"3475";"209, 210"
"3134";"3815, 3977, 140"
"2022";"281, 13"
"1681";"281, 13"
"2336";"281, 13, 3094, 2707"
"4229";"172, 175"
"963";""
"4543";"2202, 90, 13"
"3888";"207, 199"
"1277";"90, 13"
"622";"511, 513, 611, 616, 617"
"4202";"90, 13"
"281";"13"
"936";""
"3484";"134, 13"
"595";"593, 599, 600, 598"
"3143";"216, 217"
"4238";"134, 13"
"1690";"1215, 134, 13"
"3897";"235"
"1349";"1341, 281, 13, 1992"
"1008";"952, 982"
"945";""
"3556";"90, 13"
"290";"288, 280, 293, 160, 285, 286, 159, 283"
"604";"612, 540"
"2497";"90, 13"
"3215";"90, 13"
"2811";"167, 18"
"1699";"281, 3835, 1626, 13"
"1044";""
"3906";"728, 738, 94"
"1358";"281, 13"
"3565";"90, 13"
"1017";"757"
"2910";"90, 13"
"2569";"189, 87"
"3224";"2040, 536, 13"
"2228";"281, 13"
"2883";"1641, 90, 13"
"712";"701"
"371";"85"
"2919";"209, 210"
"2578";"189, 87"
"30";"27, 19"
"3233";"2002, 90, 13"
"2892";"512, 505"
"2237";"668, 665, 94"
"1896";"207, 199"
"2551";"90, 13"
"4103";"134, 13"
"2210";"90, 13"
"1932";"216, 217"
"2650";"4038, 536, 13"
"39";""
"2964";"2066, 281, 13"
"2246";"717, 718, 94"
"1591";"167, 18"
"4453";"558, 557, 94"
"1905";"134, 13"
"4112";"4043, 757"
"1564";"4310, 90, 13"
"1223";"2386, 90, 13"
"3771";"189, 87"
"2659";"134, 13"
"2318";"90, 13"
"4525";"620, 448"
"1977";"1597, 134, 13"
"1259";"2270, 90, 13"
"4184";"281, 13, 1227, 3118"
"918";"1002"
"1573";"90, 13"
"4498";"90, 13"
"3780";"207, 199"
"1232";"90, 13"
"2327";"189, 87"
"4534";"90, 13"
"1986";"668, 665, 94"
"1645";"852, 855, 94"
"4193";"306"
"3538";"90, 13"
"586";"582, 306"
"3852";"207, 199"
"3197";"795, 18"
"111";"109, 78"
"3511";"450, 18"
"1340";"90, 13"
"3547";"2746, 134, 13"
"3861";"134, 13"
"3206";"841, 829, 94"
"3520";"2882, 134, 13"
"2865";"4270, 134, 13"
"2524";"743, 740, 94"
"3179";"167, 18"
"2838";"4077, 134, 13"
"3619";"3296, 90, 13"
"3933";"3529, 134, 13"
"2560";"1394, 90, 13"
"667";"666, 602, 661, 654, 662, 601, 652"
"3529";"134, 13"
"3592";""
"2874";"90, 13"
"2533";"558, 557, 94"
"3188";"2433, 3518, 2023, 13, 281"
"2192";"189, 87"
"3287";"134, 13"
"2946";"167, 18"
"1887";"209, 210"
"2542";"216, 217"
"2605";"3845, 13, 281, 1444, 3956"
"2201";"4085, 134, 13"
"1546";"90, 13"
"1860";"978, 999, 94"
"4408";"2402, 90, 13"
"3296";"90, 13"
"2955";"209, 210"
"2614";"189, 87"
"4166";"134, 13"
"2273";"4059, 134, 13"
"1555";"134, 13"
"4480";"209, 210"
"739";"731"
"398";""
"2309";"18, 3674, 1769, 515"
"4516";"4314, 90, 13"
"2623";"216, 217"
"4175";"209, 210"
"4489";"536, 13"
"3834";"512, 505"
"748";""
"4148";"189, 87"
"3493";"3548, 90, 13"
"3807";"2269, 90, 13"
"407";""
"66";"64, 18"
"1636";"3483, 90, 13"
"4561";"1785, 281, 13"
"3843";"172, 175"
"1295";"281, 13"
"4157";"134, 13"
"3502";"3464, 1019, 140"
"3816";"668, 665, 94"
"3161";"134, 13"
"2820";"90, 13"
"4256";"281, 13"
"4570";"907, 870, 94"
"3915";"1458, 515, 18"
"2856";"281, 13"
"3170";"90, 13"
"2829";"167, 18"
"613";""
"3924";"13, 281, 2693, 1748, 4395"
"3583";"893, 878, 21, 729, 879, 768, 235"
"3242";"573, 562, 94"
"2183";"90, 13"
"2901";"189, 87"
"1367";"828, 836, 94"
"3251";"189, 87"
"4462";"207, 199"
"1376";"172, 175"
"4121";"189, 87"
"1035";"1041, 1055, 1059, 1087, 602, 1074, 601, 1029, 1062, 1077, 1045, 1065"
"4435";"172, 175"
"694";"688, 556"
"356";"371, 85"
"15";""
"2563";"90, 13"
"2222";"216, 217"
"2877";"4239, 281, 13"
"4429";"90, 13"
"1881";"207, 199"
"2536";"558, 557, 94"
"4088";"216, 217"
"1540";"1237, 134, 13"
"3747";"3030, 134, 13"
"4061";"172, 175"
"1576";"2097, 134, 13"
"4501";"209, 210"
"1890";""
"1549";"281, 13"
"4097";"207, 199"
"3756";"18, 1380, 1925, 515"
"1208";"258"
"867";""
"2760";"2977, 306"
"3415";"167, 18"
"3074";"510, 435"
"4510";"90, 13"
"1962";"2716, 134, 13"
"1621";"2898, 789"
"4169";"189, 87"
"903";""
"4483";"90, 13"
"3828";"134, 13"
"562";"94"
"3110";"573, 562, 94"
"4142";"695"
"2769";"209, 210"
"3424";"4517, 281, 13"
"3083";"189, 87"
"3864";"2942, 134, 13"
"4178";"1069"
"3523";"90, 13"
"3837";"4114, 90, 13"
"3182";"1755, 90, 13"
"230";""
"3496";"3960, 281, 13, 4398"
"2841";"3898, 281, 2250, 13"
"2437";"90, 13"
"3155";"150"
"2751";"2685, 90, 13"
"3191";"2133, 90, 13"
"3505";"281, 3908, 13, 1434"
"2850";"172, 175"
"2509";"209, 210"
"3164";"728, 738, 94"
"4716";"90, 13"
"2168";"4249, 13, 281, 3132, 1657"
"4375";"4497, 90, 13"
"4689";"1426, 134, 13"
"2518";"1315, 90, 13"
"4725";"528"
"2177";"3177, 134, 13"
"4384";"536, 13"
"1836";"558, 557, 94"
"4043";"757"
"1495";"189, 87"
"3388";"134, 13"
"2590";"1421, 281, 13, 3418"
"2186";"189, 87"
"4456";"510, 435"
"4393";"167, 18"
"1845";"90, 13"
"3738";"2907"
"4052";"207, 199"
"3397";"1966, 134, 13"
"3711";"207, 199"
"4492";"515, 18"
"2599";"2869, 1946, 13, 281, 2643"
"4151";"209, 210"
"4465";"207, 199"
"1199";"1735, 2211, 13, 281, 3034"
"858";"524"
"4124";"456, 457, 81"
"3406";"456, 457, 81"
"3720";"1602, 134, 13"
"42";"41, 43, 44, 40"
"4160";"172, 175"
"4474";"668, 665, 94"
"3819";"806, 18"
"4133";"90, 13"
"3478";"2809, 90, 13"
"3792";"4032, 134, 13"
"3137";"281, 2051, 13, 2502"
"51";""
"3487";"216, 217"
"3146";"189, 87"
"2805";"134, 13"
"2464";"4394, 90, 13"
"4671";"2235, 134, 13"
"2814";"134, 13"
"2473";"456, 457, 81"
"4366";"172, 175"
"4680";"742, 732, 94"
"4025";"90, 13"
"939";"950, 942"
"598";""
"257";""
"3227";"172, 175"
"1827";"189, 87"
"4034";"172, 175"
"1011";"987, 951, 773"
"4348";"281, 13"
"4447";"2998, 281, 13, 1372"
"4106";"529, 531, 94"
"4420";"90, 13"
"679";"676"
"4079";"134, 13"
"24";"25, 20"
"338";"333, 344, 78, 334, 329, 339, 345, 80, 346, 341, 79, 337"
"2545";"134, 13"
"4115";"1316, 134, 13"
"374";"86"
"3774";"90, 13"
"33";""
"688";"556"
"3433";"134, 13"
"347";"158, 343, 340, 342"
"6";""
"3092";"134, 13"
"3783";"3219, 90, 13"
"3442";"1064, 1080, 94"
"3101";"2899, 281, 1828, 13"
"1567";"2150, 281, 13"
"1226";"4385, 1344, 235"
"885";"721, 150"
"4196";"134, 13"
"3855";"209, 210"
"4662";"605, 448"
"1639";"207, 199"
"1235";"4381, 536, 13"
"894";"695"
"553";""
"2123";"134, 13"
"1648";"1764, 134, 13"
"589";"586, 582, 306"
"1307";"13, 281, 3329, 1590, 2993"
"652";"602"
"248";"231"
"221";""
"1002";""
"4402";"4091, 90, 13"
"1316";"134, 13"
"661";"601"
"320";""
"975";"1009, 977, 313"
"634";"644"
"4411";"529, 531, 94"
"4070";"2777, 13, 3319, 281, 2119"
"670";"671, 656"
"984";"993"
"329";"333, 344, 334, 339, 80, 341, 79"
"643";"516"
"3729";"90, 13"
"2195";"2271, 134, 13"
"302";"303, 159"
"1854";"3098, 134, 13"
"2608";"189, 87"
"2204";"167, 18"
"2922";"1365, 90, 13"
"1863";"90, 13"
"1522";"2962, 90, 13"
"1181";"1076"
"2276";"4131, 90, 13"
"1935";"4697, 90, 13"
"1217";"456, 457, 81"
"2249";"3151, 134, 13"
"1531";"281, 13"
"876";"284, 890, 695, 864, 899"
"535";""
"1190";"209, 210"
"849";""
"2285";"657, 664, 94"
"1630";"4178, 1069"
"1944";"189, 87"
"1289";"1956, 1783, 4128, 21, 729, 3731, 3454, 4081, 2161, 140, 3823, 235, 1642, 3869"
"1603";"3158, 134, 13"
"948";"764, 628"
"3810";"4605, 659"
"1262";"1507, 795, 18"
"544";"522, 81"
"203";""
"3469";"90, 13"
"1953";""
"4698";"167, 18"
"1298";"134, 13"
"1612";"3571, 199"
"957";"751, 748"
"4357";"134, 13"
"1271";"90, 13"
"616";"611"
"212";""
"275";"276"
"930";"936"
"2823";"4182, 90, 13"
"2482";"209, 210"
"4707";"207, 199"
"311";""
"966";"962, 913, 1002, 508, 927, 918"
"625";"511, 615, 513, 608, 627"
"3173";"2679, 90, 13"
"3236";"512, 505"
"284";""
"2832";"18, 2063, 4406, 795"
"2491";"512, 505"
"2150";"281, 13"
"3245";"281, 13, 3195, 1903"
"293";"288, 280, 160, 285, 286, 159, 283"
"3559";"1531, 281, 13"
"2904";"3743, 90, 13"
"2500";"728, 738, 94"
"3218";"189, 87"
"2159";"4450, 3530, 21, 729, 2016, 140, 1022, 768, 1081, 1049, 235, 4146, 1019"
"1504";"281, 13"
"1163";"866, 901, 1107, 81, 99"
"1818";"209, 210"
"1477";"2981, 134, 13"
"2258";"529, 531, 94"
"2913";"167, 18"
"365";"367, 357"
"1917";"172, 175"
"2572";"207, 199"
"2231";"1828, 13, 281, 3101, 2899"
"1513";"1164, 726, 313"
"4438";"172, 175"
"1172";"1174, 160, 772, 159, 1175, 1098"
"1486";"3656, 90, 13"
"2267";"450, 18"
"1926";"4341, 90, 13"
"2581";"536, 13"
"2240";"90, 13"
"1585";"1474, 134, 13"
"526";"381"
"1899";"90, 13"
"1244";"456, 457, 81"
"1558";"1251, 515, 18"
"840";"160, 772, 159, 851, 860"
"3451";"3987, 811"
"3765";"167, 18"
"1280";"743, 740, 94"
"1594";"216, 217"
"4519";"207, 199"
"3801";"172, 175"
"1908";"199"
"1253";"743, 740, 94"
"912";"950, 969, 939, 942"
"3460";"1422, 515, 18"
"571";"508"
"3119";"2635, 4379, 13, 281, 2045"
"2778";"852, 855, 94"
"3873";"3940, 90, 13"
"607";"613"
"1325";"510, 435"
"4187";"512, 505"
"921";"440, 989, 970, 758, 923"
"3532";"209, 210"
"266";"271, 52"
"3846";"893, 878, 2476, 3061, 21, 729, 879, 884, 140, 768, 235"
"580";"587, 579, 7, 584"
"3128";"207, 199"
"239";""
"2132";"216, 217"
"2787";"189, 87"
"2446";"882, 572"
"3882";"90, 13"
"993";""
"3541";"281, 13"
"2886";"209, 210"
"3200";"90, 13"
"3514";"207, 199"
"2141";"4460, 90, 13"
"2796";"742, 732, 94"
"2859";""
"1800";"4635, 134, 13"
"2455";"658, 663, 94"
"2114";"1311, 134, 13"
"3550";"2516, 13, 3675, 281, 2917"
"2895";"90, 13"
"2554";"1631, 90, 13"
"3209";"90, 13"
"2868";"216, 217"
"2213";"189, 87"
"1872";"1064, 1080, 94"
"1809";"90, 13"
"2527";"4447, 13, 281, 1372, 2998"
"4055";"3166, 90, 13"
"314";"315, 52"
"628";""
"2521";"90, 13"
"2180";"90, 13"
"1839";"90, 13"
"1498";"134, 13"
"1848";"90, 13"
"852";"855, 94"
"1507";"795, 18"
"1166";"1109, 1067, 1066, 744, 1140, 1129"
"511";"513"
"825";"94"
"3032";"456, 457, 81"
"4602";"736, 745, 94"
"861";"831"
"4127";"90, 13"
"1579";"4429, 90, 13"
"1175";"1174, 160, 772, 159, 1098"
"3786";"4555, 281, 13"
"520";"519"
"179";"176, 53"
"834";"825, 94"
"493";""
"152";"151"
"1274";"834, 825, 94"
"933";""
"1588";"4299, 281, 13"
"3795";"207, 199"
"592";"53"
"1247";"167, 18"
"906";""
"188";"185"
"3454";"1956, 1783, 4128, 21, 729, 3731, 4081, 2161, 140, 3823, 235, 1642, 3869"
"502";"504, 411, 237"
"2395";"1227, 13, 4184, 281, 3118"
"3113";"167, 18"
"2054";"172, 175"
"4683";"172, 175"
"942";""
"1256";"2306, 3541, 13, 281, 1381"
"601";""
"3149";"821, 832"
"260";"262, 257"
"2808";"3041, 18, 806, 2810"
"2467";"189, 87"
"2781";"207, 199"
